domain,severity,public_comment,reject_media,reject_reports,obfuscate
susmaninsurance.com,silence,,False,False,False
taullo.social,suspend,,False,False,False
terrible.place,suspend,,False,False,False
thechad.zone,suspend,,False,False,False
thepostearthdestination.com,suspend,,False,False,False
troll.cafe,suspend,,False,False,False
trumpislovetrumpis.life,suspend,,False,False,False
truthsocial.co.in,suspend,,False,False,False
truthsocial.com,suspend,,False,False,False
truthsocialpro.org,suspend,,False,False,False
tsukihi.me,suspend,,False,False,False
tweet.pasture.moe,suspend,,False,False,False
tweets.icu,suspend,,False,False,False
twitiverse.com,suspend,,False,False,False
twitter.1d4.us,suspend,,False,False,False
twitter.activitypub.actor,suspend,,False,False,False
twitter.doesnotexist.club,suspend,,False,False,False
twitter.grants.cafe,suspend,,False,False,False
twtr.carnivore.social,suspend,,False,False,False
twtr.disqordia.space,suspend,,False,False,False
twtr.plus,silence,,False,False,False
twtr.vrij.social,suspend,,False,False,False
unperson.us,suspend,,False,False,False
unsafe.space,suspend,,False,False,False
urchan.org,suspend,,False,False,False
ursal.zone,suspend,,False,False,False
varishangout.net,suspend,,False,False,False
wake.st,silence,,False,False,False
were.social,suspend,,False,False,False
wideboys.org,suspend,,False,False,False
witches.live,silence,,False,False,False
wolfgirl.bar,suspend,,False,False,False
xhais.love,suspend,,False,False,False
xscape.top,suspend,,False,False,False
yggdrasil.social,suspend,,False,False,False
youjo.love,suspend,,False,False,False
zetamu.club,suspend,,False,False,False
zwezo.o-k-i.net,suspend,,False,False,False
